"Date","Open","High","Low","Close"
"05 Aug 2022","14933.20","14972.10","14874.25","14900.40"
"04 Aug 2022","14944.95","14974.70","14688.00","14892.45"
"03 Aug 2022","14880.65","14906.70","14750.75","14878.05"
"02 Aug 2022","14831.90","14906.00","14765.30","14876.60"
"01 Aug 2022","14741.40","14858.30","14666.20","14846.85"
"29 Jul 2022","14588.15","14677.75","14553.65","14665.65"
"28 Jul 2022","14365.05","14481.45","14330.30","14469.10"
"27 Jul 2022","14131.80","14272.20","14099.90","14262.55"
"26 Jul 2022","14284.70","14286.50","14122.55","14141.45"
"25 Jul 2022","14307.90","14335.10","14228.15","14279.50"
"22 Jul 2022","14325.05","14359.75","14265.25","14336.60"
"21 Jul 2022","14172.80","14288.60","14141.65","14271.80"
"20 Jul 2022","14220.20","14230.90","14140.00","14164.40"
"19 Jul 2022","13922.55","14067.75","13922.35","14051.65"
"18 Jul 2022","13883.80","13993.40","13877.60","13984.40"
"15 Jul 2022","13761.10","13804.05","13695.20","13790.20"
"14 Jul 2022","13771.20","13797.60","13617.15","13702.65"
"13 Jul 2022","13842.80","13861.30","13714.20","13726.95"
"12 Jul 2022","13823.60","13866.65","13757.30","13779.00"
"11 Jul 2022","13771.40","13905.95","13755.75","13886.85"
"08 Jul 2022","13873.75","13874.70","13770.90","13828.25"
"07 Jul 2022","13736.95","13777.75","13687.55","13765.60"
"06 Jul 2022","13472.80","13647.20","13443.35","13631.30"
"05 Jul 2022","13533.75","13628.45","13439.40","13461.85"
"04 Jul 2022","13378.40","13483.70","13337.20","13472.65"
"01 Jul 2022","13335.25","13422.45","13192.90","13394.45"
"30 Jun 2022","13410.80","13492.15","13352.40","13387.55"
"29 Jun 2022","13337.65","13462.05","13328.20","13417.85"
"28 Jun 2022","13389.85","13487.50","13330.75","13464.25"
"27 Jun 2022","13506.35","13510.80","13432.65","13444.55"
"24 Jun 2022","13269.20","13337.70","13247.95","13322.50"
"23 Jun 2022","13081.90","13231.90","13021.25","13178.80"
"22 Jun 2022","13176.10","13184.90","13028.35","13047.75"
"21 Jun 2022","13042.80","13275.50","13019.35","13241.90"
"20 Jun 2022","13026.15","13049.40","12855.55","12950.75"
"17 Jun 2022","13011.40","13111.95","12903.85","12994.75"
"16 Jun 2022","13508.70","13527.80","13064.05","13089.20"
"15 Jun 2022","13412.20","13448.45","13366.75","13380.85"
"14 Jun 2022","13341.95","13506.50","13324.15","13388.30"
"13 Jun 2022","13521.20","13527.75","13356.20","13416.90"
"10 Jun 2022","13825.00","13860.05","13757.95","13781.75"
"09 Jun 2022","13816.70","13989.00","13790.00","13977.10"
"08 Jun 2022","13981.65","14020.45","13832.45","13886.90"
"07 Jun 2022","13978.65","13990.20","13883.75","13935.60"
"06 Jun 2022","14042.40","14081.20","13932.15","14054.10"
"03 Jun 2022","14280.35","14300.00","14064.90","14077.90"
"02 Jun 2022","14059.25","14179.30","14029.80","14167.95"
"01 Jun 2022","14132.10","14186.90","14009.05","14082.90"
"31 May 2022","14106.00","14215.45","14067.05","14119.60"
"30 May 2022","14022.60","14163.05","14009.65","14154.80"
"27 May 2022","13839.30","13885.05","13768.30","13873.15"
"26 May 2022","13651.55","13756.85","13445.25","13722.55"
"25 May 2022","13805.10","13821.40","13574.50","13587.75"
"24 May 2022","13858.05","13883.55","13709.40","13747.25"
"23 May 2022","13929.75","14005.50","13813.60","13835.80"
"20 May 2022","13755.05","13906.40","13733.55","13895.05"
"19 May 2022","13625.75","13680.65","13520.95","13550.90"
"18 May 2022","13989.35","14064.00","13896.60","13918.20"
"17 May 2022","13648.45","13944.70","13632.15","13926.05"
"16 May 2022","13540.25","13646.30","13434.45","13571.20"
"13 May 2022","13621.20","13738.55","13435.05","13471.50"
"12 May 2022","13656.95","13671.00","13389.75","13465.25"
"11 May 2022","13888.15","13949.10","13589.35","13771.80"
"10 May 2022","13953.95","14068.40","13823.35","13855.95"
"09 May 2022","14002.75","14088.30","13879.55","13991.75"
"06 May 2022","14159.10","14205.00","14073.45","14145.75"
"05 May 2022","14542.15","14606.05","14365.55","14395.50"
"04 May 2022","14771.45","14798.30","14343.60","14393.35"
"02 May 2022","14647.25","14751.05","14617.75","14736.30"
"29 Apr 2022","14991.45","15011.70","14743.35","14783.35"
"28 Apr 2022","14886.50","14964.60","14765.85","14913.90"
"27 Apr 2022","14797.35","14825.55","14678.95","14756.00"
"26 Apr 2022","14818.80","14915.35","14785.85","14898.35"
"25 Apr 2022","14758.60","14769.10","14623.10","14673.00"
"22 Apr 2022","14948.10","15015.35","14875.80","14894.85"
"21 Apr 2022","14946.30","15067.45","14929.15","15053.95"
"20 Apr 2022","14807.15","14905.25","14747.95","14850.30"
"19 Apr 2022","15012.75","15041.65","14617.05","14726.65"
"18 Apr 2022","14942.60","14971.50","14821.25","14926.05"
"13 Apr 2022","15239.65","15284.70","15126.65","15138.55"
"12 Apr 2022","15281.85","15283.35","15078.45","15164.70"
"11 Apr 2022","15337.50","15386.85","15294.30","15325.50"
"08 Apr 2022","15271.35","15386.10","15202.50","15342.40"
"07 Apr 2022","15292.35","15361.20","15185.70","15201.25"
"06 Apr 2022","15318.15","15387.40","15293.85","15327.90"
"05 Apr 2022","15433.05","15477.80","15360.20","15390.50"
"04 Apr 2022","15192.80","15393.35","15184.70","15384.20"
"01 Apr 2022","14890.10","15111.35","14882.60","15087.30"
"31 Mar 2022","14925.55","14963.40","14871.00","14894.50"
"30 Mar 2022","14880.70","14924.75","14823.55","14896.90"
"29 Mar 2022","14744.05","14773.15","14689.60","14761.90"
"28 Mar 2022","14686.25","14694.85","14515.65","14675.85"
"25 Mar 2022","14763.90","14768.30","14590.45","14651.70"
"24 Mar 2022","14598.75","14744.70","14595.70","14699.35"
"23 Mar 2022","14806.60","14833.30","14660.45","14695.15"
"22 Mar 2022","14613.10","14738.15","14492.25","14724.05"
"21 Mar 2022","14773.05","14789.85","14590.70","14602.35"
"17 Mar 2022","14667.20","14756.55","14644.75","14721.70"
"16 Mar 2022","14392.55","14491.45","14369.50","14481.80"
"15 Mar 2022","14408.75","14433.75","14130.90","14215.85"
"14 Mar 2022","14248.90","14389.35","14189.10","14374.60"
"11 Mar 2022","14145.50","14268.30","14098.70","14237.15"
"10 Mar 2022","14313.20","14316.80","14079.85","14189.00"
"09 Mar 2022","13786.40","14037.65","13721.95","13979.60"
"08 Mar 2022","13504.75","13720.10","13423.55","13706.75"
"07 Mar 2022","13594.75","13637.50","13438.30","13564.25"
