"Date","Open","High","Low","Close"
"05 Aug 2022","28990.35","29147.90","28865.10","28954.10"
"04 Aug 2022","28970.10","29129.50","28343.20","28837.50"
"03 Aug 2022","29015.95","29071.60","28677.85","28856.40"
"02 Aug 2022","28940.15","29072.60","28784.25","28994.50"
"01 Aug 2022","28438.95","28997.85","28254.10","28925.40"
"29 Jul 2022","28031.20","28353.15","28010.40","28286.15"
"28 Jul 2022","27890.05","27965.40","27677.35","27819.75"
"27 Jul 2022","27623.30","27723.55","27511.10","27656.30"
"26 Jul 2022","28056.50","28064.20","27613.10","27640.20"
"25 Jul 2022","28065.70","28136.85","27909.80","28007.15"
"22 Jul 2022","28307.75","28381.30","27996.50","28073.95"
"21 Jul 2022","28004.25","28193.70","27876.35","28148.15"
"20 Jul 2022","28047.70","28164.05","27853.10","27917.90"
"19 Jul 2022","27375.45","27756.00","27316.65","27713.40"
"18 Jul 2022","27068.20","27436.85","27068.20","27410.05"
"15 Jul 2022","26794.25","26920.10","26605.30","26856.20"
"14 Jul 2022","27018.40","27047.10","26409.90","26678.95"
"13 Jul 2022","27197.40","27318.05","26853.60","26900.55"
"12 Jul 2022","26957.35","27266.85","26893.10","27070.80"
"11 Jul 2022","26747.50","27131.15","26658.45","27085.70"
"08 Jul 2022","26976.05","26992.50","26643.55","26813.55"
"07 Jul 2022","26628.60","26797.85","26459.45","26759.10"
"06 Jul 2022","26150.70","26342.65","25871.40","26297.60"
"05 Jul 2022","26274.75","26519.80","25991.25","26068.20"
"04 Jul 2022","26064.65","26235.95","25972.55","26137.40"
"01 Jul 2022","26095.20","26284.95","25770.50","25991.55"
"30 Jun 2022","26607.45","26788.15","26145.30","26214.10"
"29 Jun 2022","26220.30","26690.30","26147.80","26511.20"
"28 Jun 2022","26472.80","26675.75","26199.65","26623.50"
"27 Jun 2022","26678.00","26924.95","26588.65","26637.35"
"24 Jun 2022","26123.40","26278.35","25910.60","26226.10"
"23 Jun 2022","25750.25","26033.05","25512.00","25914.35"
"22 Jun 2022","26103.30","26115.05","25574.85","25691.55"
"21 Jun 2022","25356.55","26312.05","25251.80","26232.85"
"20 Jun 2022","26265.75","26359.25","24890.05","25193.00"
"17 Jun 2022","26534.65","26814.75","26168.50","26275.75"
"16 Jun 2022","28257.05","28340.55","26710.40","26842.35"
"15 Jun 2022","28057.05","28235.35","27747.05","27773.30"
"14 Jun 2022","28021.55","28490.75","27797.25","27831.90"
"13 Jun 2022","28621.90","28723.65","28096.90","28152.10"
"10 Jun 2022","29059.35","29393.40","29016.00","29334.25"
"09 Jun 2022","29027.10","29451.20","28946.65","29409.35"
