"Date","Open","High","Low","Close"
"05 Aug 2022","11451.45","11488.60","11422.80","11453.70"
"04 Aug 2022","11410.05","11453.05","11225.55","11417.95"
"03 Aug 2022","11415.15","11424.45","11271.60","11356.90"
"02 Aug 2022","11364.15","11437.10","11305.90","11416.65"
"01 Aug 2022","11256.45","11370.75","11201.20","11364.15"
"29 Jul 2022","11118.20","11206.85","11110.40","11194.70"
"28 Jul 2022","11027.90","11050.85","10969.25","11040.55"
"27 Jul 2022","10855.70","10969.95","10829.40","10959.60"
"26 Jul 2022","10992.45","10995.85","10853.75","10866.20"
"25 Jul 2022","10995.65","11009.50","10936.80","10983.70"
"22 Jul 2022","11022.50","11043.40","10952.85","10991.60"
"21 Jul 2022","10845.15","10984.60","10826.50","10972.00"
"20 Jul 2022","10910.70","10911.30","10812.00","10831.00"
"19 Jul 2022","10716.05","10829.15","10704.00","10817.10"
"18 Jul 2022","10674.10","10745.75","10666.30","10737.40"
"15 Jul 2022","10558.35","10604.45","10519.75","10593.65"
"14 Jul 2022","10555.40","10572.45","10432.85","10522.90"
"13 Jul 2022","10571.90","10605.30","10509.85","10531.00"
"12 Jul 2022","10547.35","10605.15","10507.80","10520.35"
"11 Jul 2022","10445.90","10591.15","10426.05","10577.65"
"08 Jul 2022","10511.25","10514.85","10418.20","10472.40"
"07 Jul 2022","10389.15","10458.20","10381.50","10450.20"
"06 Jul 2022","10149.95","10325.15","10112.25","10312.65"
"05 Jul 2022","10179.20","10238.00","10117.25","10131.35"
"04 Jul 2022","10086.60","10153.10","10052.00","10143.45"
"01 Jul 2022","10008.05","10094.15","9937.85","10077.75"
"30 Jun 2022","10116.40","10155.60","10017.85","10042.80"
"29 Jun 2022","10030.55","10115.70","10014.40","10100.65"
"28 Jun 2022","10052.95","10133.05","9994.00","10123.15"
"27 Jun 2022","10104.80","10130.90","10070.10","10083.75"
"24 Jun 2022","9916.30","9990.70","9910.85","9980.80"
"23 Jun 2022","9760.05","9871.80","9723.75","9845.05"
"22 Jun 2022","9853.70","9853.70","9715.95","9732.95"
"21 Jun 2022","9638.30","9888.20","9633.60","9876.30"
"20 Jun 2022","9781.50","9797.85","9496.60","9580.35"
"17 Jun 2022","9814.95","9887.20","9699.65","9772.25"
"16 Jun 2022","10214.15","10228.00","9845.35","9884.55"
"15 Jun 2022","10125.65","10161.00","10081.35","10109.65"
"14 Jun 2022","10041.65","10186.90","10035.25","10075.75"
"13 Jun 2022","10216.15","10221.20","10078.65","10100.10"
"10 Jun 2022","10359.95","10413.15","10347.00","10381.05"
"09 Jun 2022","10375.30","10468.00","10343.75","10455.10"
"08 Jun 2022","10469.90","10517.00","10378.40","10412.10"
"07 Jun 2022","10493.00","10496.60","10400.55","10455.35"
"06 Jun 2022","10540.30","10547.60","10407.50","10527.90"
"03 Jun 2022","10787.15","10798.65","10540.40","10548.85"
"02 Jun 2022","10663.50","10720.50","10617.15","10710.75"
"01 Jun 2022","10639.50","10720.55","10599.15","10655.20"
"31 May 2022","10611.05","10699.55","10596.85","10616.30"
"30 May 2022","10478.10","10618.20","10471.15","10611.75"
"27 May 2022","10340.30","10377.85","10292.20","10367.20"
"26 May 2022","10154.05","10274.80","9951.10","10238.75"
"25 May 2022","10387.80","10408.50","10106.55","10118.65"
"24 May 2022","10447.50","10466.60","10331.10","10354.25"
"23 May 2022","10515.75","10557.55","10401.85","10418.75"
"20 May 2022","10403.70","10469.90","10394.45","10460.55"
"19 May 2022","10309.15","10350.05","10216.30","10251.80"
"18 May 2022","10611.55","10659.70","10513.15","10538.20"
"17 May 2022","10349.80","10564.85","10324.50","10551.05"
"16 May 2022","10214.80","10312.85","10126.65","10291.30"
"13 May 2022","10187.85","10343.70","10134.50","10161.85"
"12 May 2022","10204.95","10217.30","9979.45","10062.45"
"11 May 2022","10375.95","10444.95","10097.60","10283.10"
"10 May 2022","10525.60","10644.70","10329.60","10353.80"
"09 May 2022","10642.00","10651.75","10470.55","10546.30"
"06 May 2022","10740.70","10768.35","10653.35","10731.30"
"05 May 2022","11003.05","11063.25","10894.45","10918.90"
"04 May 2022","11190.60","11216.00","10879.25","10916.35"
