"Date","Open","High","Low","Close"
"05 Aug 2022","20541.75","20608.40","20460.15","20479.90"
"04 Aug 2022","20497.70","20541.75","20182.25","20482.00"
"03 Aug 2022","20439.20","20487.55","20212.50","20403.80"
"02 Aug 2022","20371.75","20477.15","20260.45","20444.55"
"01 Aug 2022","20235.55","20387.50","20123.75","20374.15"
"29 Jul 2022","20018.35","20148.90","20003.15","20124.40"
"28 Jul 2022","19707.55","19877.70","19655.35","19861.65"
"27 Jul 2022","19395.70","19616.20","19341.45","19601.40"
"26 Jul 2022","19644.60","19647.05","19381.55","19409.25"
"25 Jul 2022","19689.40","19701.55","19548.15","19632.00"
"22 Jul 2022","19743.15","19765.20","19616.45","19696.95"
"21 Jul 2022","19481.65","19704.40","19435.10","19675.90"
"20 Jul 2022","19572.85","19574.45","19438.80","19467.55"
"19 Jul 2022","19241.00","19400.45","19231.75","19374.30"
"18 Jul 2022","19187.15","19319.80","19172.35","19305.10"
"15 Jul 2022","19010.95","19065.00","18941.90","19048.95"
"14 Jul 2022","19078.65","19099.10","18814.80","18948.00"
"13 Jul 2022","19084.20","19129.80","18978.80","19009.85"
"12 Jul 2022","19052.50","19110.65","18957.95","18999.35"
"11 Jul 2022","18947.35","19162.00","18920.60","19134.75"
"08 Jul 2022","19091.75","19092.55","18913.35","19004.90"
"07 Jul 2022","18910.10","18979.05","18840.70","18960.55"
"06 Jul 2022","18496.05","18782.50","18452.25","18758.50"
"05 Jul 2022","18563.20","18697.45","18450.50","18485.65"
"04 Jul 2022","18355.85","18503.50","18269.65","18487.05"
"01 Jul 2022","18165.80","18415.75","18068.65","18378.65"
"30 Jun 2022","18338.45","18420.90","18167.80","18217.30"
"29 Jun 2022","18292.10","18390.85","18269.65","18338.45"
"28 Jun 2022","18382.10","18481.90","18263.60","18459.65"
"27 Jun 2022","18511.05","18522.55","18418.60","18442.70"
"24 Jun 2022","18215.45","18305.65","18185.35","18285.75"
"23 Jun 2022","17887.40","18122.60","17852.95","18084.25"
"22 Jun 2022","18052.10","18053.60","17796.95","17839.00"
"21 Jun 2022","17857.90","18156.25","17822.30","18126.10"
"20 Jun 2022","17822.40","17843.10","17574.30","17721.00"
"17 Jun 2022","17925.65","18026.00","17725.05","17778.85"
"16 Jun 2022","18605.90","18611.20","17986.40","18030.05"
"15 Jun 2022","18483.45","18518.15","18388.35","18433.50"
"14 Jun 2022","18337.60","18572.05","18292.95","18406.25"
"13 Jun 2022","18515.40","18544.35","18326.45","18402.50"
"10 Jun 2022","18799.95","18873.70","18769.25","18825.85"
"09 Jun 2022","18778.80","19000.95","18713.30","18985.80"
"08 Jun 2022","18949.95","19016.05","18752.30","18868.70"
"07 Jun 2022","18943.35","18959.45","18818.40","18894.55"
"06 Jun 2022","19046.35","19089.30","18878.20","19050.15"
"03 Jun 2022","19468.70","19494.80","19079.90","19097.30"
"02 Jun 2022","19248.85","19348.10","19184.85","19332.55"
"01 Jun 2022","19433.35","19526.70","19189.70","19287.55"
"31 May 2022","19320.30","19529.50","19264.15","19421.75"
"30 May 2022","19133.35","19368.70","19109.85","19356.80"
"27 May 2022","18959.75","18987.20","18834.55","18971.95"
"26 May 2022","18664.40","18857.25","18349.55","18806.90"
"25 May 2022","18907.15","18934.05","18554.10","18578.15"
"24 May 2022","19027.30","19040.55","18770.55","18827.90"
"23 May 2022","19125.20","19213.65","18943.35","18971.45"
"20 May 2022","18980.60","19098.70","18952.10","19085.15"
"19 May 2022","18774.40","18856.25","18636.50","18687.40"
"18 May 2022","19266.70","19387.30","19144.55","19188.55"
"17 May 2022","18864.60","19200.30","18797.60","19183.90"
"16 May 2022","18680.05","18819.15","18510.95","18739.55"
"13 May 2022","18764.65","18942.15","18490.15","18547.35"
"12 May 2022","18839.15","18849.55","18406.55","18528.15"
"11 May 2022","19081.25","19221.10","18675.75","18966.75"
"10 May 2022","19255.40","19437.20","18984.00","19036.45"
"09 May 2022","19347.90","19414.70","19158.20","19280.45"
"06 May 2022","19537.10","19602.75","19420.90","19504.85"
"05 May 2022","20105.85","20181.00","19821.65","19855.40"
"04 May 2022","20467.85","20521.70","19821.75","19906.85"
"02 May 2022","20321.90","20435.75","20242.80","20418.50"
"29 Apr 2022","20798.95","20842.70","20420.60","20471.95"
"28 Apr 2022","20660.95","20762.30","20478.65","20709.50"
"27 Apr 2022","20560.95","20609.55","20356.20","20461.70"
"26 Apr 2022","20535.70","20723.40","20527.50","20700.40"
"25 Apr 2022","20510.85","20511.25","20266.90","20328.20"
"22 Apr 2022","20831.15","20870.65","20695.95","20730.30"
"21 Apr 2022","20796.55","20964.90","20763.45","20947.90"
"20 Apr 2022","20634.30","20754.70","20542.30","20680.95"
"19 Apr 2022","20984.25","21060.65","20357.60","20516.40"
"18 Apr 2022","20824.45","20876.00","20670.80","20845.30"
"13 Apr 2022","21053.70","21139.00","20948.25","20968.35"
"12 Apr 2022","21177.20","21193.20","20847.45","20971.35"
"11 Apr 2022","21158.50","21258.25","21129.20","21209.70"
"08 Apr 2022","21012.95","21185.45","20949.10","21146.65"
"07 Apr 2022","20978.95","21113.45","20868.20","20901.15"
"06 Apr 2022","20906.65","21037.30","20861.10","20990.00"
"05 Apr 2022","20974.45","21089.80","20889.25","20976.05"
"04 Apr 2022","20632.60","20900.65","20621.15","20891.10"
"01 Apr 2022","20271.40","20586.40","20255.85","20553.85"
"31 Mar 2022","20314.05","20347.35","20206.20","20248.00"
"30 Mar 2022","20299.85","20326.80","20209.60","20260.30"
"29 Mar 2022","20170.65","20193.60","20094.75","20168.20"
"28 Mar 2022","20125.85","20134.40","19871.15","20074.20"
"25 Mar 2022","20221.00","20224.75","19978.90","20075.05"
"24 Mar 2022","20010.85","20194.70","20003.35","20133.25"
"23 Mar 2022","20210.25","20242.30","20039.95","20099.45"
"22 Mar 2022","20003.00","20105.75","19770.40","20086.65"
"21 Mar 2022","20304.25","20314.95","19953.60","19978.65"
"17 Mar 2022","20129.10","20251.95","20108.40","20233.30"
"16 Mar 2022","19753.25","19930.75","19727.30","19916.80"
"15 Mar 2022","19736.25","19806.25","19411.75","19531.20"
"14 Mar 2022","19679.85","19731.40","19511.70","19712.90"
"11 Mar 2022","19533.65","19698.70","19472.30","19677.25"
"10 Mar 2022","19642.90","19678.90","19424.00","19575.30"
"09 Mar 2022","19117.00","19332.20","19010.90","19253.40"
"08 Mar 2022","18740.65","19006.10","18553.00","18980.05"
"07 Mar 2022","18847.60","18869.35","18589.45","18761.05"
"04 Mar 2022","19422.75","19434.20","19104.15","19165.45"
"23 Feb 2022","20026.95","20109.95","19959.60","19989.25"
"22 Feb 2022","19606.10","19948.15","19589.00","19921.85"
"21 Feb 2022","20133.05","20214.25","19928.30","20024.05"
"18 Feb 2022","20278.65","20369.55","20202.40","20233.55"
"17 Feb 2022","20465.10","20524.60","20303.60","20352.10"
"16 Feb 2022","20474.70","20566.05","20319.70","20369.40"
"15 Feb 2022","19953.70","20400.05","19764.80","20377.30"
"14 Feb 2022","20156.35","20218.80","19824.20","19872.30"
"11 Feb 2022","20649.30","20657.80","20489.90","20544.30"
