"Date","Open","High","Low","Close"
"05 Aug 2022","13115.55","13151.05","13085.30","13127.70"
"04 Aug 2022","13084.15","13106.20","12934.25","13079.30"
"03 Aug 2022","13020.35","13049.35","12921.10","13031.20"
"02 Aug 2022","13007.85","13034.55","12931.20","13015.95"
"01 Aug 2022","12980.55","13007.40","12920.00","12996.10"
"29 Jul 2022","12862.30","12938.45","12832.30","12925.05"
"28 Jul 2022","12670.75","12763.45","12613.05","12750.10"
"27 Jul 2022","12463.45","12610.45","12454.70","12600.25"
"26 Jul 2022","12624.90","12631.25","12459.50","12473.95"
"25 Jul 2022","12691.25","12698.40","12603.65","12636.10"
"22 Jul 2022","12700.00","12731.25","12634.95","12711.20"
"21 Jul 2022","12590.80","12678.95","12561.70","12664.45"
"20 Jul 2022","12572.55","12621.55","12538.05","12590.30"
"19 Jul 2022","12426.30","12479.25","12417.00","12469.90"
"18 Jul 2022","12450.45","12484.20","12440.50","12474.55"
"15 Jul 2022","12344.90","12381.00","12295.50","12370.70"
"14 Jul 2022","12359.00","12390.35","12230.65","12308.40"
"13 Jul 2022","12349.75","12384.60","12310.50","12324.85"
"12 Jul 2022","12370.10","12395.40","12278.20","12296.65"
"11 Jul 2022","12407.30","12444.55","12363.85","12428.60"
"08 Jul 2022","12440.45","12457.55","12389.45","12447.05"
"07 Jul 2022","12419.55","12455.25","12361.80","12378.30"
"06 Jul 2022","12200.15","12353.15","12180.95","12335.15"
"05 Jul 2022","12253.80","12305.05","12157.80","12175.35"
"04 Jul 2022","12112.25","12226.35","12075.40","12216.85"
"01 Jul 2022","11953.50","12149.30","11919.75","12126.25"
"30 Jun 2022","11999.40","12058.75","11942.50","11985.55"
"29 Jun 2022","12000.80","12067.55","11977.35","12014.20"
"28 Jun 2022","12060.75","12121.95","11974.35","12097.95"
"27 Jun 2022","12137.65","12160.65","12086.45","12095.60"
"24 Jun 2022","11980.30","12052.35","11969.65","12007.30"
"23 Jun 2022","11812.10","11935.00","11796.95","11916.70"
"22 Jun 2022","11849.55","11866.65","11737.35","11771.10"
"21 Jun 2022","11777.15","11917.55","11763.95","11890.05"
"20 Jun 2022","11618.45","11747.00","11581.80","11722.50"
"17 Jun 2022","11753.90","11792.15","11569.20","11601.70"
"16 Jun 2022","12091.00","12095.30","11784.20","11815.65"
"15 Jun 2022","12054.85","12070.80","11984.05","12002.95"
"14 Jun 2022","12022.20","12118.65","11984.80","12020.95"
"13 Jun 2022","12076.65","12127.80","12028.60","12068.25"
"10 Jun 2022","12231.45","12281.50","12207.55","12255.50"
"09 Jun 2022","12202.90","12346.80","12143.30","12337.60"
"08 Jun 2022","12324.60","12349.25","12201.40","12259.10"
"07 Jun 2022","12374.45","12395.25","12259.75","12313.30"
"06 Jun 2022","12473.95","12505.20","12386.00","12454.00"
"03 Jun 2022","12683.80","12689.50","12493.40","12501.90"
"02 Jun 2022","12536.30","12625.15","12482.95","12608.15"
"01 Jun 2022","12705.35","12768.55","12535.70","12570.10"
"31 May 2022","12649.40","12745.55","12576.60","12696.25"
