"Date","Open","High","Low","Close"
"05 Aug 2022","3935.50","3946.00","3921.30","3932.30"
"04 Aug 2022","3916.05","3928.10","3869.40","3923.80"
"03 Aug 2022","3891.15","3901.55","3862.60","3897.00"
"02 Aug 2022","3879.20","3898.65","3864.05","3892.50"
"01 Aug 2022","3878.75","3883.10","3852.55","3880.30"
"29 Jul 2022","3839.25","3866.65","3832.60","3860.35"
"28 Jul 2022","3764.65","3813.60","3759.25","3809.45"
"27 Jul 2022","3692.65","3743.40","3688.25","3739.85"
"26 Jul 2022","3754.60","3755.15","3691.65","3695.90"
"25 Jul 2022","3764.15","3769.75","3743.60","3754.65"
"22 Jul 2022","3771.65","3781.10","3746.25","3768.55"
"21 Jul 2022","3719.60","3767.15","3711.10","3761.55"
"20 Jul 2022","3712.85","3733.50","3703.40","3721.20"
"19 Jul 2022","3662.15","3685.10","3658.30","3682.35"
"18 Jul 2022","3666.85","3681.90","3665.45","3678.25"
"15 Jul 2022","3624.15","3646.55","3613.30","3643.65"
"14 Jul 2022","3642.75","3647.50","3588.95","3611.95"
"13 Jul 2022","3637.35","3647.35","3623.20","3629.25"
"12 Jul 2022","3642.55","3649.35","3616.20","3620.75"
"11 Jul 2022","3650.30","3662.70","3635.75","3658.00"
"08 Jul 2022","3679.30","3679.85","3652.35","3666.85"
"07 Jul 2022","3671.05","3688.00","3654.50","3660.30"
"06 Jul 2022","3571.70","3648.20","3571.20","3642.90"
"05 Jul 2022","3591.85","3601.75","3558.65","3564.65"
"04 Jul 2022","3547.20","3579.35","3528.70","3576.65"
"01 Jul 2022","3476.95","3552.50","3466.35","3545.45"
"30 Jun 2022","3509.55","3526.85","3479.25","3490.50"
"29 Jun 2022","3511.60","3531.80","3502.55","3515.65"
"28 Jun 2022","3531.85","3549.60","3505.35","3543.60"
"27 Jun 2022","3555.25","3561.45","3541.70","3546.95"
"24 Jun 2022","3506.80","3522.20","3496.00","3515.75"
"23 Jun 2022","3439.35","3489.70","3435.35","3485.85"
"22 Jun 2022","3449.55","3458.65","3420.75","3428.65"
"21 Jun 2022","3419.20","3469.10","3412.40","3462.45"
"20 Jun 2022","3364.50","3408.45","3352.05","3399.10"
"17 Jun 2022","3385.35","3394.20","3340.70","3358.40"
"16 Jun 2022","3489.90","3491.20","3396.80","3403.65"
"15 Jun 2022","3465.15","3471.10","3451.00","3457.25"
"14 Jun 2022","3446.85","3486.00","3439.10","3456.35"
"13 Jun 2022","3471.55","3484.20","3453.35","3466.10"
"10 Jun 2022","3514.05","3534.85","3511.25","3527.20"
"09 Jun 2022","3510.55","3553.30","3490.20","3549.85"
"08 Jun 2022","3540.35","3547.50","3499.85","3526.35"
"07 Jun 2022","3550.25","3558.05","3521.40","3534.80"
"06 Jun 2022","3584.75","3592.70","3547.05","3580.20"
"03 Jun 2022","3648.55","3652.50","3592.15","3595.30"
"02 Jun 2022","3607.65","3628.90","3586.85","3624.70"
