"Date","Open","High","Low","Close"
"08 Aug 2022","18381.45","18554.45","18364.80","18543.50"
"05 Aug 2022","18367.80","18407.45","18252.55","18331.05"
"04 Aug 2022","18399.45","18441.65","18050.40","18321.55"
"03 Aug 2022","18408.70","18426.25","18144.90","18322.70"
"02 Aug 2022","18332.60","18450.15","18262.30","18400.00"
"01 Aug 2022","17984.20","18334.00","17959.80","18313.15"
"29 Jul 2022","17777.20","17921.35","17760.80","17906.90"
"28 Jul 2022","17632.45","17683.70","17526.35","17655.55"
"27 Jul 2022","17440.80","17564.90","17410.10","17552.10"
"26 Jul 2022","17556.80","17562.90","17422.05","17449.55"
"25 Jul 2022","17530.30","17566.60","17458.05","17521.90"
"22 Jul 2022","17612.75","17650.35","17489.60","17520.50"
"21 Jul 2022","17327.25","17567.55","17306.45","17539.40"
"20 Jul 2022","17478.30","17479.35","17279.80","17302.80"
"19 Jul 2022","17151.80","17305.45","17136.95","17270.75"
"18 Jul 2022","17094.15","17200.85","17066.00","17184.70"
"15 Jul 2022","16830.75","16980.30","16792.25","16961.35"
"14 Jul 2022","16818.10","16852.90","16636.10","16759.90"
"13 Jul 2022","16825.00","16860.40","16718.70","16750.55"
"12 Jul 2022","16801.60","16896.55","16739.95","16775.05"
"11 Jul 2022","16737.70","16910.40","16709.45","16886.30"
"08 Jul 2022","16769.25","16794.95","16637.05","16783.55"
"07 Jul 2022","16546.00","16646.20","16509.45","16619.30"
"06 Jul 2022","16270.05","16423.25","16177.25","16397.40"
"05 Jul 2022","16381.40","16478.75","16239.25","16278.30"
"04 Jul 2022","16144.30","16325.65","16129.15","16310.45"
"01 Jul 2022","16275.90","16313.05","16030.90","16182.50"
"30 Jun 2022","16534.85","16603.85","16324.70","16361.50"
"29 Jun 2022","16532.40","16670.50","16500.15","16538.50"
"28 Jun 2022","16611.35","16765.70","16474.10","16739.95"
"27 Jun 2022","16693.60","16782.95","16635.75","16700.05"
"24 Jun 2022","16477.65","16565.95","16313.05","16454.05"
"23 Jun 2022","16190.40","16373.45","16100.95","16352.60"
"22 Jun 2022","16383.75","16383.75","16094.00","16141.45"
"21 Jun 2022","16140.85","16524.80","16100.00","16456.20"
"20 Jun 2022","16201.90","16243.60","15751.45","15962.95"
"17 Jun 2022","16200.85","16397.00","16039.55","16159.85"
"16 Jun 2022","17103.40","17109.25","16278.35","16311.15"
"15 Jun 2022","16922.85","16979.60","16827.15","16894.20"
"14 Jun 2022","16726.45","16979.00","16619.20","16834.25"
