"Date","Open","High","Low","Close"
"05 Aug 2022","14666.10","14712.55","14627.45","14667.45"
"04 Aug 2022","14593.20","14652.80","14432.40","14635.55"
"03 Aug 2022","14511.15","14555.70","14416.55","14523.30"
"02 Aug 2022","14507.70","14556.95","14438.25","14515.95"
"01 Aug 2022","14489.25","14508.85","14392.15","14496.40"
"29 Jul 2022","14297.70","14439.70","14285.15","14420.90"
"28 Jul 2022","14103.40","14223.10","14035.20","14210.40"
"27 Jul 2022","13808.55","14032.20","13799.85","14016.55"
"26 Jul 2022","14035.30","14038.25","13807.65","13822.35"
"25 Jul 2022","14070.35","14084.30","14001.80","14045.30"
"22 Jul 2022","14150.75","14188.75","14036.20","14086.10"
"21 Jul 2022","13954.55","14138.10","13926.90","14114.25"
"20 Jul 2022","13913.10","13999.80","13878.30","13956.95"
"19 Jul 2022","13743.45","13821.65","13722.65","13804.50"
"18 Jul 2022","13750.55","13807.20","13732.65","13798.20"
"15 Jul 2022","13591.50","13661.40","13550.10","13649.20"
"14 Jul 2022","13648.90","13668.75","13443.95","13545.35"
"13 Jul 2022","13608.65","13649.30","13573.80","13612.95"
"12 Jul 2022","13623.70","13671.15","13529.05","13544.70"
"11 Jul 2022","13670.95","13699.20","13606.05","13682.05"
"08 Jul 2022","13769.85","13771.05","13668.55","13734.75"
"07 Jul 2022","13722.10","13794.50","13677.95","13699.95"
"06 Jul 2022","13385.25","13652.50","13356.30","13634.20"
"05 Jul 2022","13465.15","13488.40","13343.00","13362.80"
"04 Jul 2022","13306.85","13422.15","13251.95","13411.60"
"01 Jul 2022","13038.45","13327.65","13017.25","13301.30"
"30 Jun 2022","13161.50","13217.90","13043.10","13077.95"
"29 Jun 2022","13161.15","13238.25","13126.55","13184.50"
"28 Jun 2022","13219.35","13295.35","13108.85","13278.05"
"27 Jun 2022","13272.20","13319.25","13229.20","13267.25"
"24 Jun 2022","13109.60","13160.60","13068.00","13122.25"
"23 Jun 2022","12900.95","13043.35","12885.20","13027.35"
"22 Jun 2022","12939.70","12965.00","12830.75","12851.30"
"21 Jun 2022","12836.10","13011.75","12810.80","12983.55"
"20 Jun 2022","12668.25","12809.75","12604.10","12765.40"
"17 Jun 2022","12742.75","12767.90","12565.20","12648.45"
"16 Jun 2022","13147.85","13151.85","12783.85","12807.75"
"15 Jun 2022","13056.60","13072.50","12996.50","13015.95"
