"Index Name","Date","Open","High","Low","Close"
"NIFTY ALPHA LOW-VOLATILITY 30","29 Jan 2024","23985.65","24382.6","23971.55","24346.90"
"NIFTY ALPHA LOW-VOLATILITY 30","25 Jan 2024","24111.75","24113.05","23827.7","23930.30"
"NIFTY ALPHA LOW-VOLATILITY 30","24 Jan 2024","23703.7","24058.5","23513","24026.35"
"NIFTY ALPHA LOW-VOLATILITY 30","23 Jan 2024","24104.1","24177.6","23593.7","23696.45"
"NIFTY ALPHA LOW-VOLATILITY 30","20 Jan 2024","24111.7","24124.4","23944.25","23960.90"
"NIFTY ALPHA LOW-VOLATILITY 30","19 Jan 2024","23754","24024.85","23736.25","23998.30"
"NIFTY ALPHA LOW-VOLATILITY 30","18 Jan 2024","23604.85","23668.45","23286.85","23613.95"
"NIFTY ALPHA LOW-VOLATILITY 30","17 Jan 2024","23724.85","23854.45","23646.85","23670.15"
"NIFTY ALPHA LOW-VOLATILITY 30","16 Jan 2024","23912.8","23986.85","23778.5","23884.85"
"NIFTY ALPHA LOW-VOLATILITY 30","15 Jan 2024","23869.75","23912.25","23720.4","23896.90"
"NIFTY ALPHA LOW-VOLATILITY 30","12 Jan 2024","23684.1","23790.35","23555.95","23756.90"
"NIFTY ALPHA LOW-VOLATILITY 30","11 Jan 2024","23523.05","23652.5","23516.4","23611.30"
"NIFTY ALPHA LOW-VOLATILITY 30","10 Jan 2024","23551.9","23557.15","23317.05","23457.25"
"NIFTY ALPHA LOW-VOLATILITY 30","09 Jan 2024","23670.05","23680.8","23526.35","23548.45"
"NIFTY ALPHA LOW-VOLATILITY 30","08 Jan 2024","23733.85","23733.85","23479.05","23493.05"
"NIFTY ALPHA LOW-VOLATILITY 30","05 Jan 2024","23721.8","23725.35","23550.3","23646.10"
"NIFTY ALPHA LOW-VOLATILITY 30","04 Jan 2024","23532.25","23644.5","23469.5","23620.95"
"NIFTY ALPHA LOW-VOLATILITY 30","03 Jan 2024","23405.9","23510.1","23331.75","23453.40"
"NIFTY ALPHA LOW-VOLATILITY 30","02 Jan 2024","23420.4","23432.65","23189.45","23396.40"
