Index Name,Date,Open,High,Low,Close
NIFTY MIDCAP150 QUALITY 50,14 Feb 2024,20454.15,20703,20362.8,20659.1
NIFTY MIDCAP150 QUALITY 50,13 Feb 2024,20551.2,20617.85,20304.6,20607.05
NIFTY MIDCAP150 QUALITY 50,12 Feb 2024,20778.55,20822.05,20506.7,20547.95
NIFTY MIDCAP150 QUALITY 50,09 Feb 2024,20984.95,20986.7,20484,20699.4
NIFTY MIDCAP150 QUALITY 50,08 Feb 2024,21110.9,21128.2,20876.85,20898.25
NIFTY MIDCAP150 QUALITY 50,07 Feb 2024,21171.25,21192.7,20998.8,21054.15
NIFTY MIDCAP150 QUALITY 50,06 Feb 2024,20947.9,21103.9,20875.1,21091.35
NIFTY MIDCAP150 QUALITY 50,05 Feb 2024,20995.75,21043.8,20838.8,20858.25
NIFTY MIDCAP150 QUALITY 50,02 Feb 2024,20862.7,20999.7,20852.15,20924.2
NIFTY MIDCAP150 QUALITY 50,01 Feb 2024,20937.85,20937.85,20673.5,20786.55
NIFTY MIDCAP150 QUALITY 50,31 Jan 2024,20571.7,20868.95,20571.05,20853.05
NIFTY MIDCAP150 QUALITY 50,30 Jan 2024,20845.15,20895.05,20541.95,20581.65
NIFTY MIDCAP150 QUALITY 50,29 Jan 2024,20582.75,20775.8,20544.75,20760.5
NIFTY MIDCAP150 QUALITY 50,25 Jan 2024,20793.45,20802.6,20506.75,20531.55
NIFTY MIDCAP150 QUALITY 50,24 Jan 2024,20467.85,20752.1,20296.65,20728.3
NIFTY MIDCAP150 QUALITY 50,23 Jan 2024,20960.45,20960.7,20344.15,20435.7
NIFTY MIDCAP150 QUALITY 50,20 Jan 2024,20941.6,20960.1,20753.05,20796.0
NIFTY MIDCAP150 QUALITY 50,19 Jan 2024,20767.05,20851.75,20710.1,20823.3
NIFTY MIDCAP150 QUALITY 50,18 Jan 2024,20619.5,20654.15,20158.9,20626.0
NIFTY MIDCAP150 QUALITY 50,17 Jan 2024,20623.9,20713,20514.95,20603.6
NIFTY MIDCAP150 QUALITY 50,16 Jan 2024,20885.3,20914.25,20638.3,20756.9
NIFTY MIDCAP150 QUALITY 50,15 Jan 2024,20833.25,20876.55,20706.1,20839.65
NIFTY MIDCAP150 QUALITY 50,12 Jan 2024,20698.65,20742.55,20646.9,20719.25
NIFTY MIDCAP150 QUALITY 50,11 Jan 2024,20594.55,20647.85,20535.15,20590.9
NIFTY MIDCAP150 QUALITY 50,10 Jan 2024,20468.35,20570.8,20364.95,20557.0
NIFTY MIDCAP150 QUALITY 50,09 Jan 2024,20635.5,20679.4,20412.8,20453.6
NIFTY MIDCAP150 QUALITY 50,08 Jan 2024,20726.8,20755.75,20452.05,20473.95
NIFTY MIDCAP150 QUALITY 50,05 Jan 2024,20610.85,20718.1,20554.65,20686.95
NIFTY MIDCAP150 QUALITY 50,04 Jan 2024,20479,20578.25,20469.95,20544.35
NIFTY MIDCAP150 QUALITY 50,03 Jan 2024,20521.1,20533.35,20368.5,20406.1
NIFTY MIDCAP150 QUALITY 50,02 Jan 2024,20571.05,20598.15,20310.5,20517.15
NIFTY MIDCAP150 QUALITY 50,01 Jan 2024,20546.25,20597.55,20490.55,20545.85
NIFTY MIDCAP150 QUALITY 50,29 Dec 2023,20385.35,20495.25,20298.55,20473.0
NIFTY MIDCAP150 QUALITY 50,28 Dec 2023,20402.9,20414.7,20310.6,20333.35
NIFTY MIDCAP150 QUALITY 50,27 Dec 2023,20377.85,20448.9,20267.55,20361.45
NIFTY MIDCAP150 QUALITY 50,26 Dec 2023,20255.8,20317.4,20193.6,20271.0
NIFTY MIDCAP150 QUALITY 50,22 Dec 2023,20072.15,20213,20046.4,20185.4
NIFTY MIDCAP150 QUALITY 50,21 Dec 2023,19641.5,19996.85,19547.6,19982.5
NIFTY MIDCAP150 QUALITY 50,20 Dec 2023,20228.5,20343.5,19731.25,19796.35
NIFTY MIDCAP150 QUALITY 50,19 Dec 2023,20228.3,20233.6,20047.5,20111.5
NIFTY MIDCAP150 QUALITY 50,18 Dec 2023,20155.15,20244.45,20065.8,20182.85
NIFTY MIDCAP150 QUALITY 50,15 Dec 2023,20104.25,20212.35,20063.95,20167.2
NIFTY MIDCAP150 QUALITY 50,14 Dec 2023,19931.65,20026.4,19914,19997.2
NIFTY MIDCAP150 QUALITY 50,13 Dec 2023,19835.55,19849.2,19678.35,19804.5
NIFTY MIDCAP150 QUALITY 50,12 Dec 2023,19922.5,19939,19710.8,19795.6
NIFTY MIDCAP150 QUALITY 50,11 Dec 2023,19770.85,19923.8,19740.25,19885.5
NIFTY MIDCAP150 QUALITY 50,08 Dec 2023,19829.6,19849.75,19593.5,19717.2
NIFTY MIDCAP150 QUALITY 50,07 Dec 2023,19721.45,19798.8,19635.3,19765.15
NIFTY MIDCAP150 QUALITY 50,06 Dec 2023,19698.4,19739.95,19627.45,19673.05
NIFTY MIDCAP150 QUALITY 50,05 Dec 2023,19641.9,19679.25,19490.7,19607.95
NIFTY MIDCAP150 QUALITY 50,04 Dec 2023,19687.95,19691.85,19503.85,19577.9
NIFTY MIDCAP150 QUALITY 50,01 Dec 2023,19502.55,19566.25,19420.5,19476.15
NIFTY MIDCAP150 QUALITY 50,30 Nov 2023,19323.95,19483.45,19277.85,19423.75
NIFTY MIDCAP150 QUALITY 50,29 Nov 2023,19280.75,19330.9,19263.05,19280.2
NIFTY MIDCAP150 QUALITY 50,28 Nov 2023,19356.1,19365.6,19176.5,19209.0
NIFTY MIDCAP150 QUALITY 50,24 Nov 2023,19350.85,19377.1,19254.8,19289.55
NIFTY MIDCAP150 QUALITY 50,23 Nov 2023,19368.15,19403.05,19301.1,19311.3
NIFTY MIDCAP150 QUALITY 50,22 Nov 2023,19281.3,19356.55,19178.55,19324.75
NIFTY MIDCAP150 QUALITY 50,21 Nov 2023,19292.05,19330.25,19224,19237.25
NIFTY MIDCAP150 QUALITY 50,20 Nov 2023,19297.25,19318.3,19197.1,19228.05
NIFTY MIDCAP150 QUALITY 50,17 Nov 2023,19242.55,19334.45,19205.55,19251.0
NIFTY MIDCAP150 QUALITY 50,16 Nov 2023,19043.05,19255.15,19023.7,19216.25
NIFTY MIDCAP150 QUALITY 50,15 Nov 2023,18975.15,19015.9,18922.4,18999.9
NIFTY MIDCAP150 QUALITY 50,13 Nov 2023,18923.8,18935.95,18777.15,18825.6
NIFTY MIDCAP150 QUALITY 50,12 Nov 2023,18968.55,18999.9,18907.6,18921.3
NIFTY MIDCAP150 QUALITY 50,10 Nov 2023,18850.7,18861.05,18736.45,18813.8
NIFTY MIDCAP150 QUALITY 50,09 Nov 2023,18898.3,18921.15,18824.5,18841.6
NIFTY MIDCAP150 QUALITY 50,08 Nov 2023,18836.75,18901.35,18816.05,18885.45
NIFTY MIDCAP150 QUALITY 50,07 Nov 2023,18777.15,18795.15,18711.6,18751.25
NIFTY MIDCAP150 QUALITY 50,06 Nov 2023,18632.95,18754.4,18619.1,18736.65
