"Index Name","Date","Open","High","Low","Close"
"NIFTY50 VALUE 20","29 Jan 2024","11871.15","11929.45","11840.25","11907.90"
"NIFTY50 VALUE 20","25 Jan 2024","11860.6","11860.6","11756.35","11824.00"
"NIFTY50 VALUE 20","24 Jan 2024","11789.35","11880.5","11719","11864.40"
"NIFTY50 VALUE 20","23 Jan 2024","12007.1","12017.8","11704.6","11737.10"
"NIFTY50 VALUE 20","20 Jan 2024","11945.55","11962","11849.1","11861.85"
"NIFTY50 VALUE 20","19 Jan 2024","11833.15","11911.2","11814.05","11890.00"
"NIFTY50 VALUE 20","18 Jan 2024","11732.8","11772.3","11605.7","11748.45"
"NIFTY50 VALUE 20","17 Jan 2024","11743.75","11870.1","11737.3","11767.10"
"NIFTY50 VALUE 20","16 Jan 2024","11917.35","11923.85","11807.15","11877.80"
"NIFTY50 VALUE 20","15 Jan 2024","11952.4","11979.45","11880.4","11934.05"
"NIFTY50 VALUE 20","12 Jan 2024","11655.45","11810.7","11629.55","11794.85"
"NIFTY50 VALUE 20","11 Jan 2024","11546.05","11556","11473.45","11497.20"
"NIFTY50 VALUE 20","10 Jan 2024","11484.8","11517.65","11426.2","11503.45"
"NIFTY50 VALUE 20","09 Jan 2024","11573.15","11598.95","11479.65","11496.85"
"NIFTY50 VALUE 20","08 Jan 2024","11606.55","11610.3","11460","11471.50"
"NIFTY50 VALUE 20","05 Jan 2024","11573.85","11629.3","11550.45","11588.95"
"NIFTY50 VALUE 20","04 Jan 2024","11554.75","11570.4","11497.6","11536.90"
"NIFTY50 VALUE 20","03 Jan 2024","11567.2","11577.55","11484.25","11500.55"
"NIFTY50 VALUE 20","02 Jan 2024","11677.1","11680.35","11543.05","11606.55"
"NIFTY50 VALUE 20","01 Jan 2024","11614.2","11723.55","11606.9","11669.75"
"NIFTY50 VALUE 20","29 Dec 2023","11655.7","11681.45","11597.15","11618.70"
"NIFTY50 VALUE 20","28 Dec 2023","11627","11704.65","11597.75","11692.95"
"NIFTY50 VALUE 20","27 Dec 2023","11532.35","11609.35","11505.5","11594.95"
"NIFTY50 VALUE 20","26 Dec 2023","11452.95","11533.45","11418.1","11503.30"
"NIFTY50 VALUE 20","22 Dec 2023","11359.65","11482.7","11325.1","11466.65"
"NIFTY50 VALUE 20","21 Dec 2023","11197.05","11360.25","11175.5","11316.15"
"NIFTY50 VALUE 20","20 Dec 2023","11528.95","11574.15","11251.75","11279.60"
