"Index Name","Date","Open","High","Low","Close"
"NIFTY50 EQUAL WEIGHT","29 Jan 2024","26643.65","27037.05","26628.35","26999.95"
"NIFTY50 EQUAL WEIGHT","25 Jan 2024","26728.65","26731.15","26430.85","26566.90"
"NIFTY50 EQUAL WEIGHT","24 Jan 2024","26390.1","26741.3","26229.8","26705.35"
"NIFTY50 EQUAL WEIGHT","23 Jan 2024","26936.6","26991.45","26283.9","26346.40"
"NIFTY50 EQUAL WEIGHT","20 Jan 2024","26951.45","26962.9","26751.7","26773.55"
"NIFTY50 EQUAL WEIGHT","19 Jan 2024","26737.75","26866.05","26708.7","26834.40"
"NIFTY50 EQUAL WEIGHT","18 Jan 2024","26562.5","26641.15","26230.1","26562.10"
"NIFTY50 EQUAL WEIGHT","17 Jan 2024","26790.55","26954.7","26685.6","26706.00"
"NIFTY50 EQUAL WEIGHT","16 Jan 2024","27135.05","27180.45","26947.3","27052.45"
"NIFTY50 EQUAL WEIGHT","15 Jan 2024","27217.7","27217.7","27010.3","27144.20"
"NIFTY50 EQUAL WEIGHT","12 Jan 2024","26863.4","27020.5","26789.95","26977.25"
"NIFTY50 EQUAL WEIGHT","11 Jan 2024","26786.6","26841.05","26688.65","26743.80"
"NIFTY50 EQUAL WEIGHT","10 Jan 2024","26675.05","26711.5","26502.6","26686.15"
"NIFTY50 EQUAL WEIGHT","09 Jan 2024","26752.15","26809.95","26625.8","26653.50"
"NIFTY50 EQUAL WEIGHT","08 Jan 2024","26851","26861.65","26513.6","26538.15"
"NIFTY50 EQUAL WEIGHT","05 Jan 2024","26832.95","26856.55","26666.55","26767.00"
"NIFTY50 EQUAL WEIGHT","04 Jan 2024","26706.75","26774.7","26644.4","26735.30"
"NIFTY50 EQUAL WEIGHT","03 Jan 2024","26749.9","26785.45","26564.65","26592.45"
"NIFTY50 EQUAL WEIGHT","02 Jan 2024","26829.3","26835","26544.8","26749.75"
"NIFTY50 EQUAL WEIGHT","01 Jan 2024","26795.3","26911.45","26729.6","26794.85"
"NIFTY50 EQUAL WEIGHT","29 Dec 2023","26753.65","26787.45","26651.15","26755.15"
"NIFTY50 EQUAL WEIGHT","28 Dec 2023","26615.95","26796.4","26569.6","26770.80"
"NIFTY50 EQUAL WEIGHT","27 Dec 2023","26371.7","26563.15","26342.35","26538.60"
"NIFTY50 EQUAL WEIGHT","26 Dec 2023","26123.95","26316.3","26088.15","26270.45"
"NIFTY50 EQUAL WEIGHT","22 Dec 2023","25946.85","26106","25890.8","26074.40"
"NIFTY50 EQUAL WEIGHT","21 Dec 2023","25562.9","25886.9","25484.4","25834.60"
"NIFTY50 EQUAL WEIGHT","20 Dec 2023","26353.2","26405.95","25671.6","25728.85"
"NIFTY50 EQUAL WEIGHT","19 Dec 2023","26258","26283","26062.45","26228.80"
"NIFTY50 EQUAL WEIGHT","18 Dec 2023","26209.65","26273.4","26130.8","26192.75"
"NIFTY50 EQUAL WEIGHT","15 Dec 2023","26065.95","26264.8","25999.75","26224.10"
"NIFTY50 EQUAL WEIGHT","14 Dec 2023","25896.3","25961.05","25833.95","25922.15"
"NIFTY50 EQUAL WEIGHT","13 Dec 2023","25639.15","25720.8","25444.65","25687.55"
"NIFTY50 EQUAL WEIGHT","12 Dec 2023","25690.45","25738.05","25525.45","25593.40"
"NIFTY50 EQUAL WEIGHT","11 Dec 2023","25591.45","25649.2","25529.6","25633.00"
"NIFTY50 EQUAL WEIGHT","08 Dec 2023","25664.85","25713.65","25417.2","25585.75"
"NIFTY50 EQUAL WEIGHT","07 Dec 2023","25631.45","25657.75","25546.8","25600.30"
"NIFTY50 EQUAL WEIGHT","06 Dec 2023","25676.65","25704.15","25465.5","25595.25"
"NIFTY50 EQUAL WEIGHT","05 Dec 2023","25373.75","25574.75","25294.75","25555.20"
