"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","29 Jan 2024","-","-","-","43745.15"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","25 Jan 2024","-","-","-","43125.72"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","24 Jan 2024","-","-","-","42897.18"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","23 Jan 2024","-","-","-","42066.30"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","20 Jan 2024","-","-","-","43379.22"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","19 Jan 2024","-","-","-","43173.55"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","18 Jan 2024","-","-","-","42588.54"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","17 Jan 2024","-","-","-","42573.06"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","16 Jan 2024","-","-","-","42923.29"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","15 Jan 2024","-","-","-","42871.47"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","12 Jan 2024","-","-","-","42661.81"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","11 Jan 2024","-","-","-","42499.30"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","10 Jan 2024","-","-","-","42264.60"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","09 Jan 2024","-","-","-","42128.15"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","08 Jan 2024","-","-","-","41993.87"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","05 Jan 2024","-","-","-","42306.47"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","04 Jan 2024","-","-","-","42145.65"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","03 Jan 2024","-","-","-","41648.18"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","02 Jan 2024","-","-","-","41572.37"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","01 Jan 2024","-","-","-","41675.13"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","29 Dec 2023","-","-","-","41504.00"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","28 Dec 2023","-","-","-","41340.91"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","27 Dec 2023","-","-","-","41154.45"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","26 Dec 2023","-","-","-","41080.35"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","22 Dec 2023","-","-","-","40826.71"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","21 Dec 2023","-","-","-","40304.22"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","20 Dec 2023","-","-","-","39671.28"
