"Date","Open","High","Low","Close"
"24 Sep 2021","13786.95","13847.50","13718.65","13732.05"
"23 Sep 2021","13718.30","13749.45","13707.55","13739.80"
"22 Sep 2021","13637.00","13685.80","13607.90","13655.05"
"21 Sep 2021","13530.25","13622.85","13494.05","13616.40"
"20 Sep 2021","13521.25","13643.20","13483.70","13515.30"
"17 Sep 2021","13681.95","13713.35","13564.35","13592.95"
"16 Sep 2021","13625.30","13660.85","13599.95","13635.30"
"15 Sep 2021","13504.80","13609.30","13500.15","13597.00"
"14 Sep 2021","13492.05","13508.70","13469.45","13484.05"
"13 Sep 2021","13404.45","13461.80","13369.65","13453.00"
"09 Sep 2021","13328.50","13415.25","13319.80","13408.45"
"08 Sep 2021","13390.80","13395.75","13275.50","13355.25"
"07 Sep 2021","13447.10","13464.25","13385.65","13396.50"
"06 Sep 2021","13450.25","13451.90","13388.00","13415.90"
"03 Sep 2021","13374.45","13401.05","13331.90","13388.70"
"02 Sep 2021","13199.70","13361.85","13178.45","13355.05"
"01 Sep 2021","13221.90","13253.90","13157.60","13176.10"
"31 Aug 2021","13068.65","13190.90","13045.25","13174.25"
"30 Aug 2021","12972.55","13053.00","12967.30","13044.45"
"27 Aug 2021","12867.95","12942.15","12820.80","12932.65"
"26 Aug 2021","12829.50","12878.30","12805.90","12847.95"
"25 Aug 2021","12821.65","12883.90","12810.35","12825.45"
"24 Aug 2021","12827.65","12839.70","12762.50","12806.30"
"23 Aug 2021","12871.95","12872.20","12740.45","12771.55"
"20 Aug 2021","12648.25","12814.45","12644.60","12781.95"
"16 Aug 2021","12651.50","12670.90","12617.40","12658.15"
"13 Aug 2021","12617.70","12678.15","12600.70","12657.50"
"12 Aug 2021","12539.00","12604.10","12524.40","12594.55"
"11 Aug 2021","12530.85","12546.75","12410.55","12516.70"
"10 Aug 2021","12551.90","12569.20","12431.50","12502.80"
"09 Aug 2021","12579.90","12599.05","12478.15","12523.25"
"06 Aug 2021","12547.45","12551.10","12495.35","12505.85"
"05 Aug 2021","12532.45","12557.25","12470.55","12541.10"
"04 Aug 2021","12587.10","12611.15","12484.60","12506.10"
"03 Aug 2021","12440.10","12557.75","12412.45","12546.60"
"02 Aug 2021","12406.50","12415.90","12369.45","12397.70"
"30 Jul 2021","12291.05","12393.75","12258.15","12337.95"
"29 Jul 2021","12333.85","12354.65","12234.70","12241.70"
"28 Jul 2021","12399.30","12400.30","12222.25","12309.05"
"27 Jul 2021","12501.55","12515.35","12345.80","12370.00"
"26 Jul 2021","12475.20","12529.15","12452.05","12480.75"
"23 Jul 2021","12470.05","12508.90","12430.60","12475.75"
"22 Jul 2021","12448.05","12476.65","12416.60","12449.25"
"20 Jul 2021","12417.55","12435.40","12334.55","12390.40"
"19 Jul 2021","12354.95","12423.70","12339.45","12389.55"
"16 Jul 2021","12447.00","12482.40","12399.20","12416.65"
"15 Jul 2021","12371.55","12431.30","12356.90","12420.60"
"14 Jul 2021","12300.80","12357.65","12290.80","12347.55"
"13 Jul 2021","12333.90","12334.25","12283.90","12300.20"
"12 Jul 2021","12319.45","12336.70","12251.60","12277.30"
