"Date","Open","High","Low","Close"
"24 Sep 2021","15573.65","15703.65","15525.00","15540.70"
"23 Sep 2021","15507.75","15526.65","15455.65","15505.25"
"22 Sep 2021","15355.85","15447.90","15339.80","15416.90"
"21 Sep 2021","15193.40","15322.45","15122.75","15311.90"
"20 Sep 2021","15196.80","15343.70","15120.90","15155.55"
"17 Sep 2021","15363.50","15411.00","15224.70","15254.25"
"16 Sep 2021","15320.80","15373.60","15281.65","15323.65"
"15 Sep 2021","15201.60","15299.30","15186.10","15279.75"
"14 Sep 2021","15149.10","15201.10","15120.50","15168.45"
"13 Sep 2021","14980.60","15107.20","14958.40","15094.40"
"09 Sep 2021","14887.50","14999.80","14868.00","14990.30"
"08 Sep 2021","14992.70","14995.65","14812.55","14908.90"
"07 Sep 2021","15055.75","15093.00","14965.65","14978.55"
"06 Sep 2021","15018.20","15022.75","14958.15","15003.30"
"03 Sep 2021","14895.00","14977.60","14868.90","14966.25"
"02 Sep 2021","14703.45","14856.85","14665.80","14842.60"
"01 Sep 2021","14669.60","14706.75","14624.90","14667.35"
"31 Aug 2021","14474.10","14622.65","14448.60","14606.20"
"30 Aug 2021","14368.75","14451.40","14365.50","14440.90"
"27 Aug 2021","14265.95","14333.40","14203.60","14322.90"
"26 Aug 2021","14243.25","14316.30","14206.65","14249.10"
"25 Aug 2021","14238.75","14316.50","14208.15","14236.05"
"24 Aug 2021","14285.60","14308.55","14163.50","14216.95"
"23 Aug 2021","14290.85","14321.25","14193.60","14231.85"
"20 Aug 2021","13953.85","14247.10","13946.90","14198.90"
"16 Aug 2021","13973.50","13995.10","13912.70","13924.45"
"13 Aug 2021","13948.65","14008.40","13919.10","13975.90"
"12 Aug 2021","13901.25","13949.95","13868.90","13925.45"
"11 Aug 2021","13904.85","13917.40","13729.85","13864.40"
"10 Aug 2021","13936.90","13949.65","13803.85","13871.95"
"09 Aug 2021","14003.40","14015.90","13854.75","13898.25"
"06 Aug 2021","13950.60","13963.50","13893.30","13908.20"
"05 Aug 2021","13936.35","13963.75","13866.70","13931.70"
"04 Aug 2021","14023.45","14042.05","13881.80","13898.15"
"03 Aug 2021","13859.30","13989.65","13835.15","13976.95"
"02 Aug 2021","13832.30","13841.55","13783.60","13818.70"
"30 Jul 2021","13697.85","13821.30","13663.85","13745.75"
"29 Jul 2021","13678.95","13714.90","13620.65","13633.60"
"28 Jul 2021","13697.55","13703.00","13546.40","13643.75"
"27 Jul 2021","13764.65","13785.80","13631.25","13665.50"
"26 Jul 2021","13723.30","13793.50","13708.10","13737.95"
"23 Jul 2021","13743.70","13775.90","13694.25","13723.50"
"22 Jul 2021","13670.95","13744.75","13662.50","13731.20"
"20 Jul 2021","13622.90","13650.20","13518.00","13626.70"
"19 Jul 2021","13570.45","13646.65","13549.65","13603.25"
"16 Jul 2021","13697.80","13700.45","13607.75","13623.65"
"15 Jul 2021","13596.90","13695.45","13592.00","13668.95"
"14 Jul 2021","13500.30","13557.45","13477.45","13549.50"
"13 Jul 2021","13562.40","13562.40","13457.20","13471.55"
"12 Jul 2021","13547.60","13570.70","13473.80","13498.10"
"09 Jul 2021","13493.75","13531.30","13465.40","13490.60"
"08 Jul 2021","13537.85","13594.60","13468.45","13505.70"
"07 Jul 2021","13474.80","13570.65","13428.80","13552.60"
"06 Jul 2021","13562.35","13586.55","13446.20","13458.85"
"05 Jul 2021","13514.10","13577.20","13488.10","13562.10"
"02 Jul 2021","13506.60","13508.80","13411.00","13457.65"
"01 Jul 2021","13466.20","13500.05","13439.20","13469.85"
"30 Jun 2021","13459.25","13493.00","13421.05","13433.05"
"29 Jun 2021","13433.60","13496.90","13408.00","13427.15"
"28 Jun 2021","13471.70","13477.30","13411.35","13423.20"
"25 Jun 2021","13466.65","13484.35","13403.20","13433.10"
"24 Jun 2021","13360.55","13451.55","13338.05","13436.85"
"23 Jun 2021","13432.80","13433.50","13321.90","13334.80"
