"Date","Open","High","Low","Close"
"24 Sep 2021","18211.15","18328.50","18145.15","18157.60"
"23 Sep 2021","18149.70","18171.30","18106.85","18149.35"
"22 Sep 2021","18004.25","18112.70","17996.00","18049.90"
"21 Sep 2021","17796.05","17981.35","17763.55","17965.15"
"20 Sep 2021","17886.15","18008.75","17737.25","17779.10"
"17 Sep 2021","18080.60","18122.80","17914.35","17942.45"
"16 Sep 2021","18102.80","18151.85","18010.80","18029.50"
"15 Sep 2021","17952.90","18082.15","17936.00","18061.40"
"14 Sep 2021","17959.40","17963.70","17892.75","17923.15"
"13 Sep 2021","17795.90","17918.05","17755.05","17901.65"
"09 Sep 2021","17649.55","17808.10","17635.05","17796.95"
"08 Sep 2021","17770.55","17775.80","17567.25","17683.00"
"07 Sep 2021","17811.35","17843.80","17730.50","17745.90"
"06 Sep 2021","17755.40","17780.55","17711.50","17756.45"
"03 Sep 2021","17700.00","17726.20","17586.85","17701.65"
"02 Sep 2021","17446.35","17670.75","17416.45","17650.00"
"01 Sep 2021","17397.20","17434.45","17328.20","17385.60"
"31 Aug 2021","17191.15","17340.10","17148.60","17316.75"
"30 Aug 2021","17048.35","17158.30","17043.00","17142.55"
"27 Aug 2021","16873.60","17006.10","16804.85","16993.40"
"26 Aug 2021","16793.10","16892.15","16767.70","16846.15"
"25 Aug 2021","16823.60","16879.65","16757.05","16778.75"
"24 Aug 2021","16861.70","16895.40","16713.20","16803.60"
"23 Aug 2021","16923.20","16937.85","16746.15","16800.40"
"20 Aug 2021","16542.20","16819.30","16527.65","16773.70"
"16 Aug 2021","16390.75","16434.45","16320.90","16357.10"
"13 Aug 2021","16306.00","16417.55","16279.70","16394.25"
"12 Aug 2021","16248.35","16307.95","16182.60","16270.95"
"11 Aug 2021","16216.55","16254.75","16047.40","16227.10"
"10 Aug 2021","16289.80","16293.65","16115.25","16213.50"
"09 Aug 2021","16350.60","16356.35","16181.10","16239.50"
"06 Aug 2021","16302.65","16308.65","16218.95","16240.15"
"05 Aug 2021","16311.80","16331.10","16241.65","16276.75"
"04 Aug 2021","16427.20","16454.50","16242.55","16264.05"
"03 Aug 2021","16259.45","16394.20","16218.55","16380.20"
"02 Aug 2021","16201.50","16252.40","16162.80","16204.10"
"30 Jul 2021","15967.90","16189.45","15932.70","16112.75"
"29 Jul 2021","15977.15","16013.95","15890.35","15903.85"
"28 Jul 2021","16005.70","16008.65","15815.70","15935.50"
