"Date","Open","High","Low","Close"
"24 Sep 2021","43596.05","43648.35","42959.85","43071.65"
"23 Sep 2021","43212.10","43478.60","43137.50","43437.70"
"22 Sep 2021","42807.60","43066.30","42754.30","42957.55"
"21 Sep 2021","42296.40","42766.35","41936.35","42725.15"
"20 Sep 2021","42797.65","43030.45","42262.80","42354.55"
"17 Sep 2021","43573.50","43633.30","42920.05","43157.25"
"16 Sep 2021","43406.00","43562.60","43307.35","43514.60"
"15 Sep 2021","43187.05","43268.05","43098.20","43212.10"
"14 Sep 2021","43082.00","43181.95","42948.65","43041.95"
"13 Sep 2021","42814.35","42958.30","42637.75","42907.50"
"09 Sep 2021","42578.20","42799.15","42508.65","42774.50"
"08 Sep 2021","42420.25","42637.55","42272.10","42588.85"
"07 Sep 2021","42626.95","42695.70","42186.85","42357.70"
"06 Sep 2021","42788.00","42790.85","42467.40","42503.50"
"03 Sep 2021","42521.70","42591.65","42288.75","42559.10"
"02 Sep 2021","41950.00","42345.70","41876.25","42315.65"
"01 Sep 2021","41790.10","41939.00","41595.30","41887.55"
"31 Aug 2021","41104.45","41639.60","40992.85","41585.45"
"30 Aug 2021","40594.90","41052.15","40585.85","41028.50"
"27 Aug 2021","40090.35","40427.00","39936.20","40403.90"
"26 Aug 2021","39932.50","40055.35","39733.85","39904.05"
"25 Aug 2021","39777.20","39842.05","39645.95","39784.95"
"24 Aug 2021","39460.35","39655.60","39233.30","39601.80"
"23 Aug 2021","39697.75","39770.60","39022.30","39220.15"
"20 Aug 2021","39660.40","39933.70","39228.95","39381.85"
"18 Aug 2021","39827.55","40080.15","39799.6","39973.65"
"17 Aug 2021","39568.8","39803.15","39382.95","39755.20"
"16 Aug 2021","39543.80","39584.30","39381.95","39548.05"
"13 Aug 2021","39529.30","39666.75","39344.85","39500.85"
"12 Aug 2021","39389.60","39488.45","39188.05","39451.80"
"11 Aug 2021","39436.60","39497.00","38634.35","39331.15"
"10 Aug 2021","39698.05","39750.45","39099.85","39420.40"
"09 Aug 2021","39931.70","39931.70","39402.50","39579.70"
"06 Aug 2021","39757.75","39861.65","39685.55","39762.90"
"05 Aug 2021","39861.35","39861.35","39401.10","39678.85"
"04 Aug 2021","40209.25","40273.40","39698.85","39765.85"
"03 Aug 2021","39904.75","40104.60","39828.10","40053.10"
"02 Aug 2021","39607.60","39757.20","39485.95","39721.35"
"30 Jul 2021","39347.00","39587.40","39210.00","39363.65"
"29 Jul 2021","39346.15","39430.80","39116.30","39196.25"
"28 Jul 2021","39213.20","39213.20","38659.85","39174.85"
"27 Jul 2021","39454.65","39572.20","39007.30","39105.40"
"26 Jul 2021","39371.80","39459.75","39167.95","39351.30"
"23 Jul 2021","39444.30","39521.85","39122.00","39312.35"
"22 Jul 2021","39001.55","39410.90","38956.25","39359.75"
"20 Jul 2021","38914.40","38936.25","38413.85","38676.20"
"19 Jul 2021","39020.35","39234.70","38760.05","38934.75"
"16 Jul 2021","39082.75","39217.25","38982.10","39188.15"
"15 Jul 2021","38987.20","39066.65","38930.80","39001.85"
"14 Jul 2021","38965.40","38973.35","38801.65","38874.00"
"13 Jul 2021","39116.05","39120.10","38804.70","38873.50"
"12 Jul 2021","39091.80","39148.80","38894.90","38949.35"
"09 Jul 2021","38871.45","38956.65","38794.15","38919.95"
"08 Jul 2021","39008.55","39184.70","38727.55","38855.55"
"07 Jul 2021","38765.20","39012.95","38625.00","38936.35"
"06 Jul 2021","38737.30","39070.25","38708.80","38772.75"
"05 Jul 2021","38713.60","38827.05","38643.70","38776.00"
"02 Jul 2021","38681.80","38726.70","38443.55","38533.85"
"01 Jul 2021","38588.30","38727.00","38524.55","38642.25"
"30 Jun 2021","38759.15","38846.85","38459.00","38513.25"
"29 Jun 2021","38779.30","39015.30","38593.25","38678.15"
"28 Jun 2021","38724.90","38874.30","38602.25","38754.35"
"25 Jun 2021","38436.50","38647.25","38341.90","38603.45"
"24 Jun 2021","38557.20","38582.20","38268.65","38340.90"
"23 Jun 2021","39048.75","39075.25","38482.35","38525.00"
"22 Jun 2021","38888.15","39106.55","38783.65","38839.05"
"21 Jun 2021","37872.85","38685.90","37769.10","38648.95"
"18 Jun 2021","38478.50","38554.90","37479.85","38315.15"
"17 Jun 2021","38496.30","38872.65","38352.05","38519.30"
"16 Jun 2021","39168.10","39310.15","38786.50","38883.10"
"15 Jun 2021","39246.90","39351.60","39172.35","39248.75"
"14 Jun 2021","39046.65","39191.25","38290.25","39121.95"
"11 Jun 2021","39347.45","39399.60","39007.35","39294.85"
"10 Jun 2021","38943.20","39235.80","38885.25","39207.65"
"09 Jun 2021","39200.20","39364.05","38487.45","38734.85"
"08 Jun 2021","39053.50","39150.60","38781.60","39096.75"
"07 Jun 2021","39084.30","39118.85","38904.50","38948.05"
"04 Jun 2021","38872.15","38945.10","38696.40","38914.50"
"03 Jun 2021","38587.90","38790.90","38518.55","38736.35"
"02 Jun 2021","37714.40","38430.10","37710.05","38379.95"
"01 Jun 2021","37872.45","37935.05","37450.80","37688.10"
"31 May 2021","37515.80","37791.65","37390.20","37728.55"
"28 May 2021","37533.00","37658.80","37341.35","37394.45"
"27 May 2021","37363.30","37448.90","37125.45","37366.50"
"26 May 2021","37359.50","37374.80","37105.30","37192.85"
"25 May 2021","37634.35","37670.25","37152.30","37239.80"
"21 May 2021","37231.85","37312.90","37070.60","37104.85"
"20 May 2021","37047.35","37129.25","36762.20","36946.60"
"19 May 2021","36815.60","37041.85","36717.60","36967.30"
"18 May 2021","36609.90","36781.00","36555.85","36726.15"
"17 May 2021","35988.30","36278.10","35806.85","36242.35"
"14 May 2021","36486.95","36489.50","35627.45","35790.80"
"12 May 2021","36484.80","36565.05","36164.15","36308.65"
"11 May 2021","36005.25","36310.25","35821.15","36263.40"
"10 May 2021","35987.05","36222.10","35974.00","36190.15"
"07 May 2021","35933.95","35947.90","35760.25","35816.95"
"06 May 2021","35687.00","35768.80","35437.40","35697.70"
"05 May 2021","35185.55","35550.20","35024.75","35496.20"
"04 May 2021","35298.00","35334.00","34819.85","34921.45"
"03 May 2021","34526.25","35094.50","34416.25","35059.55"
"30 Apr 2021","34746.35","35129.30","34676.35","34759.20"
"29 Apr 2021","35160.15","35269.65","34818.10","34926.20"
"28 Apr 2021","34952.50","35036.30","34861.75","34938.15"
"27 Apr 2021","34605.95","34777.35","34558.30","34724.65"
"26 Apr 2021","34520.55","34585.05","34366.00","34457.65"
"23 Apr 2021","34196.80","34483.20","34078.80","34284.85"
"22 Apr 2021","34132.45","34327.20","33971.70","34242.85"
"20 Apr 2021","34418.95","34636.85","33928.65","34199.40"
"19 Apr 2021","33913.95","34122.80","33513.60","34047.25"
"16 Apr 2021","34385.50","34810.75","34347.75","34640.70"
"15 Apr 2021","34082.40","34326.85","33701.65","34273.25"
"13 Apr 2021","33800.55","34197.15","33592.45","34063.50"
"12 Apr 2021","34813.95","34829.55","33562.50","33713.95"
"09 Apr 2021","35346.95","35538.90","35235.85","35358.90"
"08 Apr 2021","35179.45","35471.90","35143.55","35321.15"
"07 Apr 2021","34793.00","35090.55","34754.40","35057.25"
"06 Apr 2021","34516.80","34768.35","34340.85","34714.05"
"05 Apr 2021","34735.00","34735.00","33947.45","34370.65"
"01 Apr 2021","34365.60","34743.60","34238.40","34689.55"
"31 Mar 2021","34173.80","34342.45","34002.50","34176.25"
"30 Mar 2021","34243.60","34488.45","33974.10","34079.35"
"26 Mar 2021","33826.70","34068.35","33724.90","33962.55"
"25 Mar 2021","34388.80","34419.35","33453.90","33554.20"
"24 Mar 2021","34668.50","34937.90","34257.90","34310.00"
"23 Mar 2021","34597.50","34923.40","34569.25","34832.20"
"22 Mar 2021","34256.50","34479.25","34133.85","34412.85"
"19 Mar 2021","33459.20","34117.25","32873.40","34075.85"
"18 Mar 2021","34324.90","34406.00","33465.70","33692.85"
"17 Mar 2021","34812.10","34861.35","34025.55","34102.10"
"16 Mar 2021","34776.15","34871.55","34641.20","34786.00"
"15 Mar 2021","34946.45","34958.60","34201.10","34624.10"
"12 Mar 2021","35376.75","35395.10","34760.90","34808.95"
"10 Mar 2021","35143.95","35223.60","34947.75","35138.00"
"09 Mar 2021","35387.90","35489.40","34684.75","34927.50"
"08 Mar 2021","35454.9","35537.7","35146.45","35199.25"
"05 Mar 2021","35618.85","35798.25","35096.45","35258.45"
"04 Mar 2021","35440.00","35958.25","35327.40","35777.45"
"03 Mar 2021","35436.10","35752.05","35366.70","35712.75"
"02 Mar 2021","34787.55","35233.00","34708.25","35151.35"
"01 Mar 2021","34491.40","34655.05","34326.60","34552.05"
"26 Feb 2021","34624.45","35009.25","34041.75","34226.35"
"25 Feb 2021","34994.75","35180.15","34933.30","34996.80"
